Designator,Mid X,Mid Y,Rotation,Layer
D39,-478.0,-496.0,180.0,bottom
D4,-268.0,-494.0,180.0,bottom
D40,-478.0,-520.0,180.0,bottom
D41,-450.0,-466.0,180.0,bottom
D42,-466.0,-465.0,-90.0,bottom
D43,-450.0,-496.0,180.0,bottom
D44,-466.0,-495.0,-90.0,bottom
D45,-450.0,-520.0,180.0,bottom
D46,-466.0,-519.0,-90.0,bottom
D47,-478.0,-472.0,180.0,bottom
D48,-478.0,-502.0,180.0,bottom
D49,-478.0,-526.0,180.0,bottom
D5,-268.0,-488.0,180.0,bottom
D50,-450.0,-472.0,180.0,bottom
D51,-466.0,-471.0,-90.0,bottom
D52,-450.0,-502.0,180.0,bottom
D53,-466.0,-501.0,-90.0,bottom
D54,-450.0,-526.0,180.0,bottom
D55,-466.0,-525.0,-90.0,bottom
D56,-478.0,-478.0,180.0,bottom
D57,-478.0,-508.0,180.0,bottom
D58,-478.0,-532.0,180.0,bottom
D59,-450.0,-478.0,180.0,bottom
D6,-268.0,-482.0,180.0,bottom
D60,-466.0,-477.0,-90.0,bottom
D61,-450.0,-508.0,180.0,bottom
D62,-466.0,-507.0,-90.0,bottom
D63,-450.0,-532.0,180.0,bottom
D64,-466.0,-531.0,-90.0,bottom
D65,-478.0,-484.0,180.0,bottom
D66,-450.0,-484.0,180.0,bottom
D67,-466.0,-483.0,-90.0,bottom
D68,-478.0,-538.0,180.0,bottom
D69,-423.0,-578.5,-90.0,bottom
D7,-268.0,-476.0,180.0,bottom
D70,-399.0,-578.5,-90.0,bottom
D71,-450.0,-538.0,180.0,bottom
D72,-466.0,-537.0,-90.0,bottom
D73,-423.0,-550.5,-90.0,bottom
D74,-424.0,-566.5,0.0,bottom
D75,-399.0,-550.5,-90.0,bottom
D76,-400.0,-566.5,0.0,bottom
D77,-478.0,-544.0,180.0,bottom
D78,-417.0,-578.5,-90.0,bottom
D79,-393.0,-578.5,-90.0,bottom
D8,-268.0,-470.0,180.0,bottom
D80,-450.0,-544.0,180.0,bottom
D81,-466.0,-543.0,-90.0,bottom
D82,-417.0,-550.5,-90.0,bottom
D83,-418.0,-566.5,0.0,bottom
D84,-393.0,-550.5,-90.0,bottom
D85,-394.0,-566.5,0.0,bottom
D86,-441.0,-578.5,-90.0,bottom
D87,-411.0,-578.5,-90.0,bottom
D88,-387.0,-578.5,-90.0,bottom
D89,-441.0,-550.5,-90.0,bottom
D9,-268.0,-464.0,180.0,bottom
D90,-442.0,-566.5,0.0,bottom
D91,-411.0,-550.5,-90.0,bottom
D92,-412.0,-566.5,0.0,bottom
D93,-387.0,-550.5,-90.0,bottom
D94,-388.0,-566.5,0.0,bottom
D95,-435.0,-578.5,-90.0,bottom
D96,-405.0,-578.5,-90.0,bottom
D97,-381.0,-578.5,-90.0,bottom
D98,-435.0,-550.5,-90.0,bottom
D99,-436.0,-566.5,0.0,bottom
J1,-374.25,-490.0,-90.0,bottom
J10,-376.0,-596.8,90.0,bottom
J11,-421.6,-596.8,90.0,bottom
